epoch,acc,loss,top2_acc,val_acc,val_loss,val_top2_acc
0,0.5860000252723694,1.3447092771530151,0.8900312781333923,0.7484630942344666,0.7316049933433533,0.9818135499954224
1,0.8052499890327454,0.5476059317588806,0.9898750185966492,0.8345286846160889,0.4759596288204193,0.9930840134620667
2,0.8649687767028809,0.37304821610450745,0.996343731880188,0.8668032884597778,0.38733306527137756,0.9974385499954224
3,0.8985937237739563,0.2825661599636078,0.9977812767028809,0.8901126980781555,0.3366912007331848,0.9966700673103333
4,0.9172812700271606,0.2317291796207428,0.9988750219345093,0.8980532884597778,0.28907522559165955,0.9969262480735779
5,0.933343768119812,0.1883530616760254,0.9990312457084656,0.9080430269241333,0.2853766977787018,0.9969262480735779
6,0.9427499771118164,0.1608874797821045,0.9994375109672546,0.9070184230804443,0.28887760639190674,0.9974385499954224
7,0.9507499933242798,0.13771535456180573,0.9996562600135803,0.9149590134620667,0.2709331214427948,0.9979507923126221
8,0.952468752861023,0.13459517061710358,0.999625027179718,0.928022563457489,0.2251584827899933,0.9984630942344666
9,0.9599999785423279,0.11440688371658325,0.999750018119812,0.9170082211494446,0.27856242656707764,0.9979507923126221
10,0.9631562232971191,0.10328900068998337,0.9998124837875366,0.9213626980781555,0.25305989384651184,0.9984630942344666
11,0.9688125252723694,0.08859385550022125,0.999750018119812,0.9246926307678223,0.2606951892375946,0.9979507923126221
12,0.9698437452316284,0.08870232850313187,0.9999062418937683,0.9226434230804443,0.26163020730018616,0.9984630942344666
13,0.9704687595367432,0.08298316597938538,0.9999062418937683,0.9293032884597778,0.23221640288829803,0.9984630942344666
14,0.9738749861717224,0.07471025735139847,0.9999374747276306,0.9198257923126221,0.2580341398715973,0.9976946711540222
15,0.976812481880188,0.07006455957889557,0.9998124837875366,0.9290471076965332,0.2374102771282196,0.9987192749977112
16,0.9752500057220459,0.07142889499664307,0.9999687671661377,0.9359630942344666,0.22234097123146057,0.9987192749977112
17,0.9784687757492065,0.06198270246386528,0.999875009059906,0.9351946711540222,0.23291027545928955,0.997694671154022218,0.9849374890327454,0.042522773146629333,0.9999374747276306,0.9433913826942444,0.20802056789398193,0.9982069730758667
19,0.9891562461853027,0.03258689492940903,1.0,0.9472336173057556,0.2003815472126007,0.9984630942344666
20,0.9901562333106995,0.0302499458193779,1.0,0.9477459192276001,0.19748398661613464,0.9984630942344666
21,0.9908437728881836,0.029056036844849586,1.0,0.9485143423080444,0.19291214644908905,0.998463094234466622,0.9913750290870667,0.028084155172109604,1.0,0.9492827653884888,0.19505886733531952,0.9984630942344666
22,0.9958124756813049,0.014388923533260822,1.0,0.9477459192276001,0.17070549726486206,0.9987192749977112
23,0.9977187514305115,0.009336130693554878,1.0,0.9503073692321777,0.16987401247024536,0.9984630942344666
24,0.9984375238418579,0.007090223021805286,1.0,0.946977436542511,0.1685265749692917,0.9982069730758667
25,0.9991250038146973,0.0055353110656142235,1.0,0.9482582211494446,0.17732378840446472,0.9987192749977112
26,0.9992812275886536,0.004504899028688669,1.0,0.9472336173057556,0.1777227222919464,0.9982069730758667
27,0.9994687438011169,0.003360446309670806,1.0,0.9513319730758667,0.17781423032283783,0.9979507923126221
